,날짜,모기지수,강수량(mm),평균기온(C),최저기온(C),최대기온(C)
121,08-30,480.8,0.0,20.6,17.9,24.5
122,08-31,524.2,17.5,17.7,16.1,19.2
123,09-01,545.4,0.0,23.2,15.8,28.6
124,09-02,491.2,4.5,24.2,20.6,29.0
125,09-03,499.0,0.5,23.9,20.4,28.6
126,09-04,517.9,0.0,25.6,22.1,29.6
127,09-05,576.3,0.0,26.4,23.0,31.1
128,09-06,640.6,0.0,24.7,21.0,29.0
129,09-07,697.8,0.0,24.3,20.9,28.6
130,09-08,806.8,4.5,23.0,21.5,26.5
131,09-10,815.9,0.0,24.4,20.0,29.1
132,09-11,821.4,0.0,24.5,22.1,28.2
133,09-12,805.9,2.5,23.4,21.4,27.5
134,09-13,756.7,0.0,24.6,19.6,30.8
135,09-14,743.2,0.0,24.6,21.4,28.9
136,09-15,743.2,0.0,23.9,18.8,29.5
137,09-16,753.3,0.0,24.6,20.4,29.5
138,09-17,759.2,7.0,23.1,18.5,28.2
139,09-18,729.9,0.0,23.5,20.2,28.3
140,09-19,708.9,0.0,21.9,18.2,27.8
141,09-20,682.2,0.0,20.6,15.4,26.8
142,09-21,623.5,0.0,20.2,14.3,25.3
143,09-22,551.5,0.0,21.9,17.5,27.2
144,09-23,523.7,0.0,21.4,16.4,27.9
145,09-24,481.3,0.0,22.3,16.5,28.9
146,09-25,478.6,0.0,23.0,18.6,29.7
147,09-26,480.8,0.0,23.6,19.7,28.9
148,09-27,496.8,13.5,21.0,19.1,23.8
149,09-28,503.5,0.5,19.9,18.7,21.8
150,09-29,513.2,0.0,20.4,18.2,24.8
151,09-30,509.8,0.0,20.5,17.7,23.5
152,10-01,513.2,0.0,21.1,17.5,25.6
153,10-02,501.2,18.5,19.0,16.7,22.4
154,10-03,452.5,6.5,22.7,19.6,27.9
155,10-04,447.4,0.0,22.0,15.6,29.0
156,10-05,461.7,0.0,21.1,17.5,27.2
157,10-06,487.9,0.0,18.0,13.6,23.5
158,10-07,453.0,2.0,19.7,16.5,24.8
159,10-08,439.9,6.0,16.8,10.3,21.8
160,10-09,392.2,0.0,11.3,6.5,16.6
161,10-10,328.3,0.0,14.0,7.4,21.4
162,10-11,265.4,0.0,15.4,10.0,21.1
163,10-12,229.6,0.0,15.5,11.4,20.7
164,10-13,197.9,0.0,15.2,9.3,21.9
165,10-14,186.0,0.0,16.7,10.5,23.5
166,10-15,173.1,0.0,19.1,12.4,27.1
167,10-16,184.7,1.5,17.2,15.4,19.5
168,10-17,212.9,0.0,17.5,14.5,21.7
169,10-18,232.7,0.0,17.0,11.2,24.0
170,10-19,241.2,0.0,18.0,14.0,24.3
171,10-20,260.4,0.0,18.6,12.9,25.8
172,10-21,283.3,0.0,17.9,15.7,22.0
173,10-22,294.4,0.0,18.3,14.5,22.8
174,10-23,288.5,2.5,13.3,10.6,17.8
175,10-24,269.0,0.0,15.1,9.0,20.6
176,10-25,248.1,37.0,14.1,12.5,17.5
177,10-26,234.0,0.0,13.3,10.5,16.3
178,10-27,207.2,0.0,14.6,8.6,20.9
179,10-28,184.7,0.3,14.6,10.2,18.4
180,10-29,172.3,0.0,7.8,3.5,11.2
181,10-30,137.0,0.0,7.9,1.6,15.1
182,10-31,118.0,0.5,5.7,0.7,8.2
183,11-01,25.0,0.0,1.5,-2.4,6.6
184,11-02,15.8,0.1,4.1,-2.7,10.5
185,11-03,11.2,0.2,9.1,4.2,14.1
186,11-04,9.4,0.0,12.3,8.2,15.7
187,11-05,8.6,0.0,15.0,12.2,18.1
188,11-06,11.1,0.0,14.0,11.9,18.3
189,11-07,14.6,5.5,12.8,8.5,17.8
190,11-08,19.9,0.5,4.1,0.4,8.4
191,11-09,21.9,0.0,2.1,-3.2,8.6
192,11-10,20.7,0.4,6.0,1.5,9.8
193,11-11,18.5,4.0,9.1,6.2,14.2
194,11-12,16.9,0.0,11.4,5.1,16.7
195,11-13,14.9,0.5,14.4,12.1,18.1
196,11-14,14.8,1.5,13.2,10.2,15.8
197,11-15,15.5,0.0,5.2,2.5,10.2
198,11-16,25.1,0.0,5.2,0.0,12.0
199,11-17,29.7,0.0,9.1,4.0,16.5
200,11-19,20.5,0.0,13.0,9.9,18.6
201,11-20,22.3,0.0,9.8,6.4,15.3
202,11-21,18.9,0.0,9.5,5.1,14.6
203,11-22,16.0,0.2,2.0,-2.1,8.4
204,11-23,15.6,0.0,-1.8,-4.8,3.6
205,11-24,11.7,0.0,-2.5,-6.2,2.4
206,11-25,7.7,0.0,1.0,-3.5,6.0
207,11-26,5.7,2.8,0.9,-0.7,2.7
208,11-27,3.6,0.0,3.3,0.5,6.6
209,11-28,2.9,0.0,1.4,-1.4,5.6
210,11-29,2.1,0.0,1.7,-2.8,8.6
211,11-30,2.0,1.0,6.0,0.7,9.8
212,12-01,2.5,0.0,4.1,-1.0,7.0
213,12-02,3.0,0.0,1.6,-3.5,7.9
214,12-03,3.1,0.0,4.5,-0.7,11.3
215,12-04,3.5,0.0,5.5,2.0,9.5
216,12-05,3.7,1.5,5.9,0.5,10.3
217,12-06,4.2,0.0,-1.1,-4.2,4.3
218,12-07,3.8,0.0,1.7,-2.7,7.5
